Date,Close
8/24/2017,70.585999
8/25/2017,69.610001
8/28/2017,69.132004
8/29/2017,69.472
8/30/2017,70.636002
8/31/2017,71.18
9/1/2017,71.080002
9/5/2017,69.917999
9/6/2017,68.905998
9/7/2017,70.122002
9/8/2017,68.68
9/11/2017,72.737999
9/12/2017,72.550003
9/13/2017,73.246002
9/14/2017,75.528
9/15/2017,75.961998
9/18/2017,77
9/19/2017,75.019997
9/20/2017,74.781998
9/21/2017,73.295998
9/22/2017,70.218002
9/25/2017,68.998001
9/26/2017,69.050003
9/27/2017,68.194
9/28/2017,67.919998
9/29/2017,68.220001
10/2/2017,68.306
10/3/2017,69.627998
10/4/2017,71.001999
10/5/2017,71.066002
10/6/2017,71.375999
10/9/2017,68.587997
10/10/2017,71.117996
10/11/2017,70.919998
10/12/2017,71.136002
10/13/2017,71.113998
10/16/2017,70.120003
10/17/2017,71.150002
10/18/2017,71.93
10/19/2017,70.362
10/20/2017,69.019997
10/23/2017,67.403999
10/24/2017,67.468002
10/25/2017,65.167999
10/26/2017,65.234001
10/27/2017,64.174004
10/30/2017,64.015999
10/31/2017,66.306
